"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-05","6.04",,"0.00","0.0","0.0","47","65","42","  150","  160","15.0","21.0","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-06","12.08",,"0.00","0.0","0.0","64","74","60","  180","  190","19.9","30.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-07","10.96",,"0.00","0.0","0.0","73","88","65","  190","  190","21.9","31.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-08","7.61",,"0.00","0.0","0.0","76","93","61","   10","   20","25.1","40.0",,,,,,,,"    1",
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-09","10.51",,"0.00","0.0","0.0","66","70","48","   10","  350","21.0","29.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-10","7.38",,"0.00","0.0","0.0","53","65","40","   10","   20","18.1","27.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-11","16.33",,"0.59","0.0","0.0","61","72","54","  190","  160","31.1","40.0","    1",,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-12","16.55",,"0.18","0.0","0.0","60","66","38","  340","  330","31.1","44.1","    1",,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-13","13.20",,"0.03","0.0","0.0","41","48","34","  350","  360","29.1","36.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-14","4.47",,"0.01","0.0","0.0","42","52","35","   40","  100","12.1","15.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-15","7.61",,"0.00","0.0","0.0","49","63","37","  190","  280","17.0","23.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-16","12.08",,"0.00","0.0","0.0","55","71","40","  170","  180","28.0","42.9",,,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-17","10.07",,"0.03","0.0","0.0","53","63","37","  340","  320","19.9","25.9","    1",,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-18","6.49",,"0.00","0.0","0.0","47","68","30","  180","  170","17.0","27.1","    1",,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-19","6.04",,"0.00","0.0","0.0","62","72","52","   40","   60","19.9","27.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-20","4.47",,"0.16","0.0","0.0","62","79","46","  340","  330","25.9","34.0","    1",,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-21","5.14",,"0.00","0.0","0.0","65","80","48","   70","  110","12.1","16.1","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-22","9.62",,"1.81","0.0","0.0","63","65","56","   40","  120","23.0","34.0","    1",,"    1",,"    1",,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-23","7.16",,"0.00","0.0","0.0","63","80","55","  320","  330","16.1","21.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-24","11.41",,"1.28","0.0","0.0","68","79","55","  300","  290","40.9","59.1","    1",,"    1",,"    1",,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-25","11.41",,"0.00","0.0","0.0","62","75","52","  350","  300","21.9","30.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-26","4.92",,"0.00","0.0","0.0","63","78","46","  120","  120","14.1","19.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-27","10.96",,"0.02","0.0","0.0","67","76","60","  180","  190","30.0","38.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-28","12.75",,"0.76","0.0","0.0","71","81","60","  340","  350","38.9","51.0","    1",,"    1",,"    1",,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-29","13.20",,"0.00","0.0","0.0","62","72","51","  320","  320","29.1","42.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-04-30","5.14",,"0.00","0.0","0.0","63","78","50","  170","  300","10.1","14.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-01","14.54",,"0.00","0.0","0.0","71","85","57","  170","  150","32.0","50.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-02","11.18",,"0.00","0.0","0.0","76","86","67","  170","  170","21.9","30.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-03","8.28",,"0.01","0.0","0.0","74","77","65","  170","  170","16.1","21.0","    1",,,,,,,"    1",
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-04","12.75",,"0.00","0.0","0.0","74","88","63","  170","  180","28.0","38.0",,,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-05","9.62",,"0.00","0.0","0.0","68","77","55","  360","  340","21.9","28.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-06","6.49",,"0.00","0.0","0.0","63","74","49","  350","   10","14.1","19.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-07","8.50",,"0.06","0.0","0.0","62","73","50","  130","  120","21.9","33.1",,,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-08","14.76",,"0.55","0.0","0.0","61","68","47","  340","  350","30.0","40.0","    1",,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-09","2.91",,"0.00","0.0","0.0","55","69","42","   90","   90","13.0","17.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-10","6.71",,"0.00","0.0","0.0","58","67","47","   10","  360","18.1","25.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-11","9.40",,"0.02","0.0","0.0","54","55","47","   40","   80","17.0","23.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-12","7.61",,"0.27","0.0","0.0","49","53","47","   40","   50","16.1","23.0","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-13","10.51",,"0.09","0.0","0.0","59","77","52","  170","  160","19.9","32.0","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-14","13.42",,"0.00","0.0","0.0","75","83","71","  180","  190","25.1","38.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-15","9.62",,"1.53","0.0","0.0","69","76","58","   40","   70","25.1","35.1","    1",,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-16","2.91",,"0.00","0.0","0.0","65","74","58","   80","   90","10.1","14.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-17","9.62",,"0.00","0.0","0.0","68","75","60","  330","  330","25.9","36.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-18","6.04",,"0.00","0.0","0.0","66","77","52","  340","  330","16.1","21.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-19","7.16",,"0.00","0.0","0.0","65","73","53","   40","   10","16.1","23.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-20","6.93",,"0.00","0.0","0.0","66","78","53","   70","   60","14.1","19.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-21","8.72",,"0.00","0.0","0.0","68","73","63","  110","  110","14.1","19.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-22","9.62",,"0.31","0.0","0.0","71","82","61","  330","  330","35.1","50.1","    1",,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-23","10.07",,"0.00","0.0","0.0","77","86","69","  190","  190","18.1","28.0",,,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-24","10.07",,"0.01","0.0","0.0","77","85","67","  140","  160","19.9","29.1",,,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-25","6.71",,"1.73","0.0","0.0","71","74","64","  340","  340","21.0","27.1","    1",,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-26","7.61",,"0.16","0.0","0.0","67","76","63","  290","  350","15.0","21.0","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-27","3.80",,"0.06","0.0","0.0","68","73","63","  350","  360","8.9","12.1","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-28","5.37",,"0.01","0.0","0.0","68","75","61","  330","  330","14.1","19.0","    1","    1",,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-29","5.82",,"0.00","0.0","0.0","70","83","59","   10","   10","14.1","21.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-30","4.70",,"0.00","0.0","0.0","71","84","58","  130","  150","15.0","21.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-05-31","6.71",,"0.00","0.0","0.0","75","85","62","  100","   90","15.0","21.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-06-01","8.28",,"0.00","0.0","0.0","76","85","68","  180","  180","16.1","23.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-06-02","9.17",,"0.00","0.0","0.0","77","87","70","  180","  180","15.0","21.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-06-03","10.07",,"0.00","0.0","0.0","82","92","74","  190","  210","16.1","23.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-06-04","10.74",,"0.00","0.0","0.0","84","95","77","  190","  130","17.0","27.1",,,"    1",,,,,,
