"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-20",,,"0.02","0.0","0.0","59","45","51"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-21",,,"0.00","0.0","0.0","57","43","43"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-22",,,"0.00","0.0","0.0","64","38","45"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-23",,,"0.01","0.0","0.0","65","35","43"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-24",,,"0.01","0.0","0.0","55","35","36"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-25",,,"0.00","0.0","0.0","56","30","31"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-26",,,"0.00","0.0","0.0","52","25","37"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-27",,,"0.00","0.0","0.0","72","33","49"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-28",,,"0.00","0.0","0.0","68","39","51"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-29",,,"0.00","0.0","0.0","53","32","32"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-11-30",,,"0.00","0.0","0.0","57","27","40"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-01",,,"0.00","0.0","0.0","55","33","41"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-02",,,"0.01","0.0","0.0","44","24","24"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-03",,,"0.00","0.0","0.0","35","18","18"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-04",,,"0.00","0.0","0.0","35","14","24"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-05",,,"0.00","0.0","0.0","46","25","30"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-06",,,,,,"41","27","28"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-07",,,,,,"28","21","26"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-08",,,,,,"37","18","18"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-09",,,,,,"22","8","9"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-10","    5","0.10",,,,"33","8","22"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-11",,,"0.00","0.0",,"41","17","26"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-12",,,"0.00","0.0",,"47","22","44"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-13",,,"0.00","0.0","0.0","60","41","51"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-14",,,"0.00","0.0","0.0","54","16","16"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-15",,,"0.00","0.0","0.0","32","12","17"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-16",,,"0.00","0.0","0.0","50","15","33"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-17",,,"0.00","0.0","0.0","57","32","34"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-18",,,"0.00","0.0","0.0","53","24","29"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-19",,,"0.00","0.0","0.0","35","23","23"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-20",,,"0.00","0.0","0.0","52","21","34"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-21",,,"0.00","0.0","0.0","58","26","41"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-22",,,"0.00","0.0","0.0","54","37","51"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-23",,,"0.02","0.0","0.0","52","35","35"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-24",,,,"0.0","0.0","35","18","18"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-25",,,,,"0.0","28","13","20"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-26",,,,"0.0","0.0","32","17","19"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-27",,,,"0.0","0.0","32","16","21"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-28",,,,"0.0","0.0","46","18","24"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-29",,,,"0.0","0.0","30","19","30"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-30",,,,"0.0","0.0","35","30","32"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-12-31","    8","0.25",,"0.0","0.0","33","15","15"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-01",,,,,,"33","11","17"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-02",,,,,,"20","8","17"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-03",,,,,,"20","15","15"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-04",,,,,,"24","12","18"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-05",,,,,,"24","18","22"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-06",,,,,,"33","16","16"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-07",,,,,,"17","6","6"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-08",,,,,,"18","2","3"
